
Linux  pcubusrv104  2.6.32-33-generic-pae  #70-Ubuntu SMP Thu Jul 7 22:51:12 UTC 2011  i686  11/14/2012

00:00:01  memtot memfree buffers   cached  slabmem      swptot swpfree  _mem_
16:40:01    488M     46M    187M     184M      34M        976M    976M
16:50:01    488M     46M    187M     185M      34M        976M    976M
17:00:01    488M     50M    187M     185M      34M        976M    976M
17:10:01    488M     50M    188M     185M      34M        976M    976M
17:20:01    488M     50M    188M     185M      34M        976M    976M
17:30:01    488M     48M    188M     185M      34M        976M    976M
17:40:01    488M     50M    188M     185M      34M        976M    976M
17:50:01    488M     49M    188M     185M      34M        976M    976M
18:00:01    488M     49M    188M     185M      34M        976M    976M

